CITY;QUANTITY_MEDICAL;EXAMS
ABAETE;816;1250
AGUAS FORMOSAS;972;249
AIMORES;49;221
ALEM PARAIBA;1711;0
ALFENAS;10249;2455
ALMENARA;2863;1140
ALPINOPOLIS;1065;1056
ALTEROSA;374;165
ALTO RIO DOCE;182;0
ARACUAI;5798;2011
ARAGUARI;13014;4945
ARAXA;8017;3646
AREADO;388;0
ARINOS;417;0
BAMBUI;869;128
BARAO DE COCAIS;531;0
BARBACENA;18492;7398
BARROSO;425;343
BELO HORIZONTE;205670;17163
BETIM;23946;0
BICAS;353;0
BOA ESPERANCA;2112;0
BOCAIUVA;5815;0
BOM DESPACHO;3349;2000
BOM SUCESSO;196;632
BOTELHOS;71;0
BRASILIA DE MINAS;3681;0
BRAZOPOLIS;1703;0
BRUMADINHO;1237;0
BUENOPOLIS;406;0
CABO VERDE;2688;0
CAETE;908;0
CALDAS;658;0
CAMBUI;245;296
CAMBUQUIRA;410;0
CAMPANHA;689;0
CAMPO BELO;3323;1688
CAMPOS GERAIS;3184;0
CAPELINHA;1661;1
CARANDAI;193;0
CARANGOLA;10259;90
CARATINGA;11440;3157
CARMO DO PARANAIBA;7;0
CASSIA;348;712
CATAGUASES;6336;668
CAXAMBU;252;0
CHAPADA DO NORTE;295;0
CLAUDIO;240;6
COLUNA;381;0
CONCEICAO DAS ALAGOAS;311;0
CONCEICAO DO MATO DENTRO;151;0
CONGONHAS;1474;424
CONSELHEIRO LAFAIETE;10491;1530
CONTAGEM;41795;0
CORACAO DE JESUS;953;0
CORINTO;1645;0
CORONEL FABRICIANO;6865;0
CORONEL MURTA;826;0
CURVELO;4732;3336
DESCOBERTO;180;0
DIAMANTINA;6651;1460
DIVINO;536;0
DIVINO DAS LARANJEIRAS;287;0
DIVINOPOLIS;14660;4201
DORES DO INDAIA;2363;322
ENTRE RIOS DE MINAS;73;128
ESPERA FELIZ;1123;23
ESPINOSA;983;0
EXTREMA;397;658
FELISBURGO;1078;246
FORMIGA;2401;2641
FRANCISCO BADARO;400;0
FRANCISCO SA;987;0
FRUTAL;320;0
GALILEIA;242;0
GOUVEIA;615;0
GOVERNADOR VALADARES;49261;5345
GUANHAES;337;1006
GUARANI;536;81
GUAXUPE;542;0
IBIA;773;0
INHAPIM;843;0
IPANEMA;697;0
IPATINGA;18646;2363
ITABIRA;7301;2012
ITABIRINHA;211;20
ITACARAMBI;673;0
ITAJUBA;9583;1256
ITAMARANDIBA;1615;0
ITAMBACURI;42;72
ITANHOMI;543;0
ITAOBIM;378;459
ITAPECERICA;1713;38
ITAU DE MINAS;957;251
ITAUNA;9560;0
ITUIUTABA;8663;0
JABOTICATUBAS;866;0
JACUTINGA;98;0
JANAUBA;6076;0
JANUARIA;12784;0
JEQUITINHONHA;4386;151
JOAO MONLEVADE;5444;1305
JOAO PINHEIRO;2347;2755
JUIZ DE FORA;65588;16226
LAGOA DA PRATA;3109;1838
LAGOA SANTA;3402;0
LAMBARI;711;0
LAVRAS;5784;5199
LEOPOLDINA;5683;630
LIMA DUARTE;962;0
MACHADO;2620;1520
MANHUACU;7292;4093
MANHUMIRIM;4879;0
MANTENA;390;0
MAR DE ESPANHA;4;370
MARIA DA FE;274;0
MARTINHO CAMPOS;341;0
MATEUS LEME;567;0
MATIPO;405;0
MATO VERDE;994;0
MATOZINHOS;1460;0
MERCES;364;0
MINAS NOVAS;1580;0
MIRAI;916;142
MONTALVANIA;560;0
MONTE AZUL;1609;0
MONTE CARMELO;8620;261
MONTE SANTO DE MINAS;204;0
MONTES CLAROS;76626;33663
MURIAE;28303;9177
MUTUM;344;0
NANUQUE;4707;546
NOVA ERA;648;1678
NOVA LIMA;3161;0
NOVO CRUZEIRO;1186;0
OLIVEIRA;4322;2490
OURO FINO;2841;1079
OURO PRETO;2028;1388
PALMA;987;178
PARA DE MINAS;7633;2810
PARACATU;7568;0
PARAISOPOLIS;1044;45
PASSOS;15613;13596
PATOS DE MINAS;11709;20
PATROCINIO;6608;4180
PAULA CANDIDO;401;0
PECANHA;159;0
PEDRA AZUL;2084;841
PEDRALVA;884;0
PEDRO LEOPOLDO;12184;2567
PERDOES;491;1096
PIRAPORA;9843;4015
PITANGUI;1109;374
PIUMHI;79;83
POCOS DE CALDAS;13378;2275
POMPEU;907;0
PONTE NOVA;10826;4452
PORTEIRINHA;1946;0
POTE;884;0
POUSO ALEGRE;25346;11868
PRADOS;876;0
PRATA;393;0
RAUL SOARES;825;1072
RECREIO;140;0
RIBEIRAO DAS NEVES;7513;0
RIO PIRACICABA;711;0
RIO POMBA;559;0
SABARA;2282;2762
SABINOPOLIS;765;451
SACRAMENTO;943;114
SALINAS;9830;238
SANTA BARBARA;306;0
SANTA LUZIA;3146;0
SANTA MARGARIDA;417;0
SANTA MARIA DO SUACUI;1905;524
SANTA RITA DO SAPUCAI;1286;255
SANTA VITORIA;216;0
SANTO ANTONIO DO AMPARO;54;659
SANTO ANTONIO DO MONTE;423;187
SANTOS DUMONT;5611;198
SAO DOMINGOS DO PRATA;1061;241
SAO FRANCISCO;1280;0
SAO GONCALO DO SAPUCAI;1573;28
SAO JOAO DEL REI;3454;2104
SAO JOAO DO ORIENTE;1037;0
SAO JOAO NEPOMUCENO;2406;10
SAO LOURENCO;285;543
SAO PEDRO DOS FERROS;1039;0
SAO SEBASTIAO DO PARAISO;1921;1995
SAO TIAGO;546;39
SENADOR FIRMINO;1108;0
SENHORA DOS REMEDIOS;1762;0
SERRO;404;1219
SETE LAGOAS;24584;6723
TAIOBEIRAS;970;68
TARUMIRIM;1227;0
TEOFILO OTONI;18645;8402
TIMOTEO;2216;0
TOMBOS;684;0
TRES CORACOES;12311;292
TRES MARIAS;175;0
TRES PONTAS;1382;0
TUPACIGUARA;661;0
TURMALINA;859;541
UBA;25413;7237
UBERABA;20459;7692
UBERLANDIA;50772;11
UNAI;2299;0
VARGINHA;11147;972
VARZEA DA PALMA;1880;0
VARZELANDIA;719;0
VESPASIANO;481;0
VICOSA;2478;1310
VIRGINOPOLIS;1171;615
VISCONDE DO RIO BRANCO;1953;233
ABRE CAMPO;0;77
ALVINOPOLIS;0;591
ANDRADAS;0;911
ARCOS;0;947
BAEPENDI;0;323
CAETANOPOLIS;0;749
CAMANDUCAIA;0;318
CARLOS CHAGAS;0;432
DOM SILVERIO;0;861
ITAGUARA;0;445
LUZ;0;90
NEPOMUCENO;0;341
PASSA TEMPO;0;496
RESENDE COSTA;0;195
RESPLENDOR;0;807
SANTA RITA DE JACUTINGA;0;323
